Rescue probability,Death rate,Mutation rate
1.0,0.8,1e-08
1.0,0.8,5e-08
1.0,0.8,1e-07
1.0,0.8,1.584893192461114e-07
1.0,0.8,2.5118864315095823e-07
1.0,0.8,3.981071705534969e-07
1.0,0.8,6.30957344480193e-07
1.0,0.8,1e-06
1.0,0.8,1.584893192461114e-06
1.0,0.8,2.5118864315095823e-06
1.0,0.8,3.981071705534969e-06
1.0,0.8,6.30957344480193e-06
1.0,0.8,1e-05
1.0,0.8,1.584893192461114e-05
1.0,0.8,2.5118864315095822e-05
1.0,0.8,3.9810717055349695e-05
1.0,0.8,6.309573444801943e-05
1.0,0.8,0.0001
1.0,0.8,0.0005
1.0,0.8,0.001
1.0,0.828421052631579,1e-08
1.0,0.828421052631579,5e-08
1.0,0.828421052631579,1e-07
1.0,0.828421052631579,1.584893192461114e-07
1.0,0.828421052631579,2.5118864315095823e-07
1.0,0.828421052631579,3.981071705534969e-07
1.0,0.828421052631579,6.30957344480193e-07
1.0,0.828421052631579,1e-06
1.0,0.828421052631579,1.584893192461114e-06
1.0,0.828421052631579,2.5118864315095823e-06
1.0,0.828421052631579,3.981071705534969e-06
1.0,0.828421052631579,6.30957344480193e-06
1.0,0.828421052631579,1e-05
1.0,0.828421052631579,1.584893192461114e-05
1.0,0.828421052631579,2.5118864315095822e-05
1.0,0.828421052631579,3.9810717055349695e-05
1.0,0.828421052631579,6.309573444801943e-05
1.0,0.828421052631579,0.0001
1.0,0.828421052631579,0.0005
1.0,0.828421052631579,0.001
1.0,0.856842105263158,1e-08
1.0,0.856842105263158,5e-08
1.0,0.856842105263158,1e-07
1.0,0.856842105263158,1.584893192461114e-07
1.0,0.856842105263158,2.5118864315095823e-07
1.0,0.856842105263158,3.981071705534969e-07
1.0,0.856842105263158,6.30957344480193e-07
1.0,0.856842105263158,1e-06
1.0,0.856842105263158,1.584893192461114e-06
1.0,0.856842105263158,2.5118864315095823e-06
1.0,0.856842105263158,3.981071705534969e-06
1.0,0.856842105263158,6.30957344480193e-06
1.0,0.856842105263158,1e-05
1.0,0.856842105263158,1.584893192461114e-05
1.0,0.856842105263158,2.5118864315095822e-05
1.0,0.856842105263158,3.9810717055349695e-05
1.0,0.856842105263158,6.309573444801943e-05
1.0,0.856842105263158,0.0001
1.0,0.856842105263158,0.0005
1.0,0.856842105263158,0.001
1.0,0.8852631578947369,1e-08
1.0,0.8852631578947369,5e-08
1.0,0.8852631578947369,1e-07
1.0,0.8852631578947369,1.584893192461114e-07
1.0,0.8852631578947369,2.5118864315095823e-07
1.0,0.8852631578947369,3.981071705534969e-07
1.0,0.8852631578947369,6.30957344480193e-07
1.0,0.8852631578947369,1e-06
1.0,0.8852631578947369,1.584893192461114e-06
1.0,0.8852631578947369,2.5118864315095823e-06
1.0,0.8852631578947369,3.981071705534969e-06
1.0,0.8852631578947369,6.30957344480193e-06
1.0,0.8852631578947369,1e-05
1.0,0.8852631578947369,1.584893192461114e-05
1.0,0.8852631578947369,2.5118864315095822e-05
1.0,0.8852631578947369,3.9810717055349695e-05
