Rescue probability,Nc
0.829,1.0
0.822,613.2244897959183
0.837,1225.4489795918366
0.834,1837.673469387755
0.815,2449.8979591836733
0.811,3062.1224489795914
0.796,3674.34693877551
0.788,4286.571428571428
0.792,4898.7959183673465
0.79,5511.020408163265
0.761,6123.244897959183
0.791,6735.469387755102
0.792,7347.69387755102
0.764,7959.918367346938
0.77,8572.142857142857
0.783,9184.367346938774
0.751,9796.591836734693
0.752,10408.816326530612
0.746,11021.04081632653
0.75,11633.265306122448
0.73,12245.489795918365
0.72,12857.714285714284
0.706,13469.938775510203
0.704,14082.16326530612
0.69,14694.38775510204
0.711,15306.612244897959
0.661,15918.836734693876
0.64,16531.061224489793
0.665,17143.285714285714
0.622,17755.51020408163
0.623,18367.734693877548
0.549,18979.95918367347
0.553,19592.183673469386
0.528,20204.408163265303
0.459,20816.632653061224
0.413,21428.85714285714
0.368,22041.08163265306
0.167,22653.30612244898
0.0,23265.530612244896
0.0,23877.755102040814
0.0,24489.97959183673
0.0,25102.20408163265
0.0,25714.42857142857
0.0,26326.653061224486
0.0,26938.877551020407
0.0,27551.102040816324
0.0,28163.32653061224
0.0,28775.551020408162
0.0,29387.77551020408
0.0,30000.0
