Rescue probability,b,a
0.0,0.01,0.01
0.0,0.01,0.025118864315095794
0.0,0.01,0.06309573444801933
0.0,0.01,0.15848931924611143
0.008,0.01,0.3981071705534973
0.102,0.01,1.0
0.0,0.025118864315095794,0.01
0.0,0.025118864315095794,0.025118864315095794
0.0,0.025118864315095794,0.06309573444801933
0.0,0.025118864315095794,0.15848931924611143
0.002,0.025118864315095794,0.3981071705534973
0.052,0.025118864315095794,1.0
0.0,0.06309573444801933,0.01
0.0,0.06309573444801933,0.025118864315095794
0.0,0.06309573444801933,0.06309573444801933
0.0,0.06309573444801933,0.15848931924611143
0.0,0.06309573444801933,0.3981071705534973
0.029,0.06309573444801933,1.0
0.0,0.15848931924611143,0.01
0.0,0.15848931924611143,0.025118864315095794
0.0,0.15848931924611143,0.06309573444801933
0.0,0.15848931924611143,0.15848931924611143
0.0,0.15848931924611143,0.3981071705534973
0.001,0.15848931924611143,1.0
0.0,0.3981071705534973,0.01
0.0,0.3981071705534973,0.025118864315095794
0.0,0.3981071705534973,0.06309573444801933
0.0,0.3981071705534973,0.15848931924611143
0.0,0.3981071705534973,0.3981071705534973
0.0,0.3981071705534973,1.0
0.0,1.0,0.01
0.0,1.0,0.025118864315095794
0.0,1.0,0.06309573444801933
0.0,1.0,0.15848931924611143
0.0,1.0,0.3981071705534973
0.0,1.0,1.0
