Rescue probability,Nc,Growth ratios
0.187,1,0.2
0.358,1,0.6
0.465,1,1.0
0.557,1,1.6
0.653,1,2.4
0.751,1,3.6
0.774,1,5.5
0.875,1,9.2
0.915,1,19.0
0.987,1,127.0
0.0,50,0.2
0.329,50,0.6
0.472,50,1.0
0.571,50,1.6
0.635,50,2.4
0.726,50,3.6
0.809,50,5.5
0.846,50,9.2
0.912,50,19.0
0.985,50,127.0
0.0,100,0.2
0.0,100,0.6
0.453,100,1.0
0.56,100,1.6
0.655,100,2.4
0.732,100,3.6
0.78,100,5.5
0.832,100,9.2
0.916,100,19.0
0.984,100,127.0
0.0,500,0.2
0.0,500,0.6
0.043,500,1.0
0.547,500,1.6
0.636,500,2.4
0.709,500,3.6
0.807,500,5.5
0.848,500,9.2
0.914,500,19.0
0.989,500,127.0
0.0,1000,0.2
0.0,1000,0.6
0.0,1000,1.0
0.51,1000,1.6
0.632,1000,2.4
0.714,1000,3.6
0.805,1000,5.5
0.849,1000,9.2
0.927,1000,19.0
0.991,1000,127.0
0.0,5000,0.2
0.0,5000,0.6
0.0,5000,1.0
0.0,5000,1.6
0.126,5000,2.4
0.655,5000,3.6
0.777,5000,5.5
0.831,5000,9.2
0.904,5000,19.0
0.978,5000,127.0
0.0,10000,0.2
0.0,10000,0.6
0.0,10000,1.0
0.0,10000,1.6
0.0,10000,2.4
0.415,10000,3.6
0.692,10000,5.5
0.825,10000,9.2
0.893,10000,19.0
0.967,10000,127.0
0.0,50000,0.2
0.0,50000,0.6
0.0,50000,1.0
0.0,50000,1.6
0.0,50000,2.4
0.0,50000,3.6
0.0,50000,5.5
0.0,50000,9.2
0.215,50000,19.0
0.824,50000,127.0
0.0,100000,0.2
0.0,100000,0.6
0.0,100000,1.0
0.0,100000,1.6
0.0,100000,2.4
0.0,100000,3.6
0.0,100000,5.5
0.0,100000,9.2
0.0,100000,19.0
0.0,100000,127.0
0.0,500000,0.2
0.0,500000,0.6
0.0,500000,1.0
0.0,500000,1.6
0.0,500000,2.4
0.0,500000,3.6
0.0,500000,5.5
0.0,500000,9.2
0.0,500000,19.0
0.0,500000,127.0
