Rescue probability,Nc,Growth ratios
0.032,1,0.2
0.106,1,0.6
0.19,1,1.0
0.327,1,1.6
0.417,1,2.4
0.536,1,3.6
0.62,1,5.5
0.714,1,9.2
0.832,1,19.0
0.965,1,127.0
0.0,50,0.2
0.089,50,0.6
0.204,50,1.0
0.312,50,1.6
0.395,50,2.4
0.523,50,3.6
0.643,50,5.5
0.738,50,9.2
0.823,50,19.0
0.97,50,127.0
0.0,100,0.2
0.0,100,0.6
0.196,100,1.0
0.324,100,1.6
0.433,100,2.4
0.535,100,3.6
0.62,100,5.5
0.733,100,9.2
0.854,100,19.0
0.966,100,127.0
0.0,500,0.2
0.0,500,0.6
0.007,500,1.0
0.315,500,1.6
0.42,500,2.4
0.515,500,3.6
0.617,500,5.5
0.721,500,9.2
0.833,500,19.0
0.978,500,127.0
0.0,1000,0.2
0.0,1000,0.6
0.0,1000,1.0
0.271,1000,1.6
0.402,1000,2.4
0.502,1000,3.6
0.634,1000,5.5
0.744,1000,9.2
0.838,1000,19.0
0.972,1000,127.0
0.0,5000,0.2
0.0,5000,0.6
0.0,5000,1.0
0.0,5000,1.6
0.006,5000,2.4
0.447,5000,3.6
0.576,5000,5.5
0.718,5000,9.2
0.84,5000,19.0
0.96,5000,127.0
0.0,10000,0.2
0.0,10000,0.6
0.0,10000,1.0
0.0,10000,1.6
0.0,10000,2.4
0.162,10000,3.6
0.547,10000,5.5
0.68,10000,9.2
0.824,10000,19.0
0.93,10000,127.0
0.0,50000,0.2
0.0,50000,0.6
0.0,50000,1.0
0.0,50000,1.6
0.0,50000,2.4
0.0,50000,3.6
0.0,50000,5.5
0.0,50000,9.2
0.042,50000,19.0
0.684,50000,127.0
0.0,100000,0.2
0.0,100000,0.6
0.0,100000,1.0
0.0,100000,1.6
0.0,100000,2.4
0.0,100000,3.6
0.0,100000,5.5
0.0,100000,9.2
0.0,100000,19.0
0.0,100000,127.0
0.0,500000,0.2
0.0,500000,0.6
0.0,500000,1.0
0.0,500000,1.6
0.0,500000,2.4
0.0,500000,3.6
0.0,500000,5.5
0.0,500000,9.2
0.0,500000,19.0
0.0,500000,127.0
