Rescue probability,Nc,Growth ratios
0.007,1,0.2
0.037,1,0.6
0.082,1,1.0
0.109,1,1.6
0.173,1,2.4
0.229,1,3.6
0.286,1,5.5
0.348,1,9.2
0.422,1,19.0
0.492,1,127.0
0.0,50,0.2
0.03,50,0.6
0.075,50,1.0
0.109,50,1.6
0.146,50,2.4
0.228,50,3.6
0.294,50,5.5
0.36,50,9.2
0.409,50,19.0
0.51,50,127.0
0.0,100,0.2
0.0,100,0.6
0.07,100,1.0
0.106,100,1.6
0.158,100,2.4
0.217,100,3.6
0.288,100,5.5
0.349,100,9.2
0.384,100,19.0
0.469,100,127.0
0.0,500,0.2
0.0,500,0.6
0.0,500,1.0
0.105,500,1.6
0.163,500,2.4
0.214,500,3.6
0.303,500,5.5
0.364,500,9.2
0.408,500,19.0
0.514,500,127.0
0.0,1000,0.2
0.0,1000,0.6
0.0,1000,1.0
0.049,1000,1.6
0.14,1000,2.4
0.195,1000,3.6
0.281,1000,5.5
0.351,1000,9.2
0.424,1000,19.0
0.478,1000,127.0
0.0,5000,0.2
0.0,5000,0.6
0.0,5000,1.0
0.0,5000,1.6
0.0,5000,2.4
0.095,5000,3.6
0.226,5000,5.5
0.342,5000,9.2
0.443,5000,19.0
0.494,5000,127.0
0.0,10000,0.2
0.0,10000,0.6
0.0,10000,1.0
0.0,10000,1.6
0.0,10000,2.4
0.0,10000,3.6
0.095,10000,5.5
0.259,10000,9.2
0.38,10000,19.0
0.517,10000,127.0
0.0,50000,0.2
0.0,50000,0.6
0.0,50000,1.0
0.0,50000,1.6
0.0,50000,2.4
0.0,50000,3.6
0.0,50000,5.5
0.0,50000,9.2
0.0,50000,19.0
0.0,50000,127.0
0.0,100000,0.2
0.0,100000,0.6
0.0,100000,1.0
0.0,100000,1.6
0.0,100000,2.4
0.0,100000,3.6
0.0,100000,5.5
0.0,100000,9.2
0.0,100000,19.0
0.0,100000,127.0
0.0,500000,0.2
0.0,500000,0.6
0.0,500000,1.0
0.0,500000,1.6
0.0,500000,2.4
0.0,500000,3.6
0.0,500000,5.5
0.0,500000,9.2
0.0,500000,19.0
0.0,500000,127.0
