Rescue probability,Nc,Growth ratios
0.179,1,0.2
0.344,1,0.6
0.484,1,1.0
0.57,1,1.6
0.662,1,2.4
0.724,1,3.6
0.783,1,5.5
0.872,1,9.2
0.909,1,19.0
0.991,1,127.0
0.0,50,0.2
0.0,50,0.6
0.38,50,1.0
0.56,50,1.6
0.644,50,2.4
0.717,50,3.6
0.778,50,5.5
0.859,50,9.2
0.9,50,19.0
0.974,50,127.0
0.0,100,0.2
0.0,100,0.6
0.0,100,1.0
0.518,100,1.6
0.612,100,2.4
0.686,100,3.6
0.77,100,5.5
0.819,100,9.2
0.891,100,19.0
0.972,100,127.0
0.0,500,0.2
0.0,500,0.6
0.0,500,1.0
0.0,500,1.6
0.358,500,2.4
0.682,500,3.6
0.758,500,5.5
0.805,500,9.2
0.891,500,19.0
0.94,500,127.0
0.0,1000,0.2
0.0,1000,0.6
0.0,1000,1.0
0.0,1000,1.6
0.0,1000,2.4
0.485,1000,3.6
0.699,1000,5.5
0.812,1000,9.2
0.866,1000,19.0
0.937,1000,127.0
0.0,5000,0.2
0.0,5000,0.6
0.0,5000,1.0
0.0,5000,1.6
0.0,5000,2.4
0.0,5000,3.6
0.0,5000,5.5
0.0,5000,9.2
0.538,5000,19.0
0.769,5000,127.0
0.0,10000,0.2
0.0,10000,0.6
0.0,10000,1.0
0.0,10000,1.6
0.0,10000,2.4
0.0,10000,3.6
0.0,10000,5.5
0.0,10000,9.2
0.0,10000,19.0
0.0,10000,127.0
0.0,50000,0.2
0.0,50000,0.6
0.0,50000,1.0
0.0,50000,1.6
0.0,50000,2.4
0.0,50000,3.6
0.0,50000,5.5
0.0,50000,9.2
0.0,50000,19.0
0.0,50000,127.0
0.0,100000,0.2
0.0,100000,0.6
0.0,100000,1.0
0.0,100000,1.6
0.0,100000,2.4
0.0,100000,3.6
0.0,100000,5.5
0.0,100000,9.2
0.0,100000,19.0
0.0,100000,127.0
0.0,500000,0.2
0.0,500000,0.6
0.0,500000,1.0
0.0,500000,1.6
0.0,500000,2.4
0.0,500000,3.6
0.0,500000,5.5
0.0,500000,9.2
0.0,500000,19.0
0.0,500000,127.0
