Rescue probability,c,Growth ratios,Nc
0.192,0.0,0.2,1
0.035,0.05555555555555555,0.2,1
0.0,0.1111111111111111,0.2,1
0.0,0.16666666666666666,0.2,1
0.0,0.2222222222222222,0.2,1
0.0,0.2777777777777778,0.2,1
0.0,0.3333333333333333,0.2,1
0.0,0.38888888888888884,0.2,1
0.0,0.4444444444444444,0.2,1
0.0,0.5,0.2,1
0.331,0.0,0.6,1
0.234,0.05555555555555555,0.6,1
0.108,0.1111111111111111,0.6,1
0.0,0.16666666666666666,0.6,1
0.0,0.2222222222222222,0.6,1
0.0,0.2777777777777778,0.6,1
0.0,0.3333333333333333,0.6,1
0.0,0.38888888888888884,0.6,1
0.0,0.4444444444444444,0.6,1
0.0,0.5,0.6,1
0.45,0.0,1.0,1
0.367,0.05555555555555555,1.0,1
0.237,0.1111111111111111,1.0,1
0.134,0.16666666666666666,1.0,1
0.0,0.2222222222222222,1.0,1
0.0,0.2777777777777778,1.0,1
0.0,0.3333333333333333,1.0,1
0.0,0.38888888888888884,1.0,1
0.0,0.4444444444444444,1.0,1
0.0,0.5,1.0,1
0.545,0.0,1.6,1
0.489,0.05555555555555555,1.6,1
0.395,0.1111111111111111,1.6,1
0.271,0.16666666666666666,1.6,1
0.159,0.2222222222222222,1.6,1
0.0,0.2777777777777778,1.6,1
0.0,0.3333333333333333,1.6,1
0.0,0.38888888888888884,1.6,1
0.0,0.4444444444444444,1.6,1
0.0,0.5,1.6,1
0.652,0.0,2.4,1
0.553,0.05555555555555555,2.4,1
0.486,0.1111111111111111,2.4,1
0.381,0.16666666666666666,2.4,1
0.24,0.2222222222222222,2.4,1
0.128,0.2777777777777778,2.4,1
0.0,0.3333333333333333,2.4,1
0.0,0.38888888888888884,2.4,1
0.0,0.4444444444444444,2.4,1
0.0,0.5,2.4,1
0.72,0.0,3.6,1
0.633,0.05555555555555555,3.6,1
0.547,0.1111111111111111,3.6,1
0.454,0.16666666666666666,3.6,1
0.373,0.2222222222222222,3.6,1
0.245,0.2777777777777778,3.6,1
0.098,0.3333333333333333,3.6,1
0.0,0.38888888888888884,3.6,1
0.0,0.4444444444444444,3.6,1
0.0,0.5,3.6,1
0.788,0.0,5.5,1
0.701,0.05555555555555555,5.5,1
0.579,0.1111111111111111,5.5,1
0.53,0.16666666666666666,5.5,1
0.454,0.2222222222222222,5.5,1
0.367,0.2777777777777778,5.5,1
0.22,0.3333333333333333,5.5,1
0.057,0.38888888888888884,5.5,1
0.0,0.4444444444444444,5.5,1
0.0,0.5,5.5,1
0.867,0.0,9.2,1
0.783,0.05555555555555555,9.2,1
0.672,0.1111111111111111,9.2,1
0.578,0.16666666666666666,9.2,1
0.512,0.2222222222222222,9.2,1
0.433,0.2777777777777778,9.2,1
0.301,0.3333333333333333,9.2,1
0.159,0.38888888888888884,9.2,1
0.0,0.4444444444444444,9.2,1
0.0,0.5,9.2,1
0.901,0.0,19.0,1
0.831,0.05555555555555555,19.0,1
0.761,0.1111111111111111,19.0,1
0.693,0.16666666666666666,19.0,1
0.594,0.2222222222222222,19.0,1
0.49,0.2777777777777778,19.0,1
0.364,0.3333333333333333,19.0,1
0.269,0.38888888888888884,19.0,1
0.095,0.4444444444444444,19.0,1
0.0,0.5,19.0,1
0.989,0.0,127.0,1
0.894,0.05555555555555555,127.0,1
0.811,0.1111111111111111,127.0,1
0.714,0.16666666666666666,127.0,1
0.661,0.2222222222222222,127.0,1
0.563,0.2777777777777778,127.0,1
0.423,0.3333333333333333,127.0,1
0.324,0.38888888888888884,127.0,1
0.179,0.4444444444444444,127.0,1
0.0,0.5,127.0,1
0.0,0.0,0.2,50
0.0,0.05555555555555555,0.2,50
0.0,0.1111111111111111,0.2,50
0.0,0.16666666666666666,0.2,50
0.0,0.2222222222222222,0.2,50
0.0,0.2777777777777778,0.2,50
0.0,0.3333333333333333,0.2,50
0.0,0.38888888888888884,0.2,50
0.0,0.4444444444444444,0.2,50
0.0,0.5,0.2,50
0.321,0.0,0.6,50
0.0,0.05555555555555555,0.6,50
0.0,0.1111111111111111,0.6,50
0.0,0.16666666666666666,0.6,50
0.0,0.2222222222222222,0.6,50
0.0,0.2777777777777778,0.6,50
0.0,0.3333333333333333,0.6,50
0.0,0.38888888888888884,0.6,50
0.0,0.4444444444444444,0.6,50
0.0,0.5,0.6,50
0.471,0.0,1.0,50
0.374,0.05555555555555555,1.0,50
0.0,0.1111111111111111,1.0,50
0.0,0.16666666666666666,1.0,50
0.0,0.2222222222222222,1.0,50
0.0,0.2777777777777778,1.0,50
0.0,0.3333333333333333,1.0,50
0.0,0.38888888888888884,1.0,50
0.0,0.4444444444444444,1.0,50
0.0,0.5,1.0,50
0.568,0.0,1.6,50
0.49,0.05555555555555555,1.6,50
0.351,0.1111111111111111,1.6,50
0.0,0.16666666666666666,1.6,50
0.0,0.2222222222222222,1.6,50
0.0,0.2777777777777778,1.6,50
0.0,0.3333333333333333,1.6,50
0.0,0.38888888888888884,1.6,50
0.0,0.4444444444444444,1.6,50
0.0,0.5,1.6,50
0.65,0.0,2.4,50
0.566,0.05555555555555555,2.4,50
0.491,0.1111111111111111,2.4,50
0.366,0.16666666666666666,2.4,50
0.0,0.2222222222222222,2.4,50
0.0,0.2777777777777778,2.4,50
0.0,0.3333333333333333,2.4,50
0.0,0.38888888888888884,2.4,50
0.0,0.4444444444444444,2.4,50
0.0,0.5,2.4,50
0.711,0.0,3.6,50
0.644,0.05555555555555555,3.6,50
0.572,0.1111111111111111,3.6,50
0.486,0.16666666666666666,3.6,50
0.343,0.2222222222222222,3.6,50
0.0,0.2777777777777778,3.6,50
0.0,0.3333333333333333,3.6,50
0.0,0.38888888888888884,3.6,50
0.0,0.4444444444444444,3.6,50
0.0,0.5,3.6,50
0.811,0.0,5.5,50
0.708,0.05555555555555555,5.5,50
0.617,0.1111111111111111,5.5,50
0.521,0.16666666666666666,5.5,50
0.445,0.2222222222222222,5.5,50
0.347,0.2777777777777778,5.5,50
0.0,0.3333333333333333,5.5,50
0.0,0.38888888888888884,5.5,50
0.0,0.4444444444444444,5.5,50
0.0,0.5,5.5,50
0.839,0.0,9.2,50
0.763,0.05555555555555555,9.2,50
0.678,0.1111111111111111,9.2,50
0.606,0.16666666666666666,9.2,50
0.53,0.2222222222222222,9.2,50
0.394,0.2777777777777778,9.2,50
0.229,0.3333333333333333,9.2,50
0.0,0.38888888888888884,9.2,50
0.0,0.4444444444444444,9.2,50
0.0,0.5,9.2,50
0.907,0.0,19.0,50
0.833,0.05555555555555555,19.0,50
0.764,0.1111111111111111,19.0,50
0.673,0.16666666666666666,19.0,50
0.615,0.2222222222222222,19.0,50
0.48,0.2777777777777778,19.0,50
0.386,0.3333333333333333,19.0,50
0.0,0.38888888888888884,19.0,50
0.0,0.4444444444444444,19.0,50
0.0,0.5,19.0,50
0.976,0.0,127.0,50
0.897,0.05555555555555555,127.0,50
0.819,0.1111111111111111,127.0,50
0.706,0.16666666666666666,127.0,50
0.638,0.2222222222222222,127.0,50
0.539,0.2777777777777778,127.0,50
0.476,0.3333333333333333,127.0,50
0.305,0.38888888888888884,127.0,50
0.0,0.4444444444444444,127.0,50
0.0,0.5,127.0,50
0.0,0.0,0.2,100
0.0,0.05555555555555555,0.2,100
0.0,0.1111111111111111,0.2,100
0.0,0.16666666666666666,0.2,100
0.0,0.2222222222222222,0.2,100
0.0,0.2777777777777778,0.2,100
0.0,0.3333333333333333,0.2,100
0.0,0.38888888888888884,0.2,100
0.0,0.4444444444444444,0.2,100
0.0,0.5,0.2,100
0.0,0.0,0.6,100
0.0,0.05555555555555555,0.6,100
0.0,0.1111111111111111,0.6,100
0.0,0.16666666666666666,0.6,100
0.0,0.2222222222222222,0.6,100
0.0,0.2777777777777778,0.6,100
0.0,0.3333333333333333,0.6,100
0.0,0.38888888888888884,0.6,100
0.0,0.4444444444444444,0.6,100
0.0,0.5,0.6,100
0.444,0.0,1.0,100
0.302,0.05555555555555555,1.0,100
0.0,0.1111111111111111,1.0,100
0.0,0.16666666666666666,1.0,100
0.0,0.2222222222222222,1.0,100
0.0,0.2777777777777778,1.0,100
0.0,0.3333333333333333,1.0,100
0.0,0.38888888888888884,1.0,100
0.0,0.4444444444444444,1.0,100
