Rescue probability,Nc,Growth ratios
0.006,1,0.2
0.039,1,0.6
0.079,1,1.0
0.12,1,1.6
0.16,1,2.4
0.224,1,3.6
0.292,1,5.5
0.342,1,9.2
0.426,1,19.0
0.499,1,127.0
0.0,50,0.2
0.0,50,0.6
0.0,50,1.0
0.107,50,1.6
0.169,50,2.4
0.226,50,3.6
0.281,50,5.5
0.357,50,9.2
0.363,50,19.0
0.434,50,127.0
0.0,100,0.2
0.0,100,0.6
0.0,100,1.0
0.073,100,1.6
0.164,100,2.4
0.234,100,3.6
0.266,100,5.5
0.335,100,9.2
0.344,100,19.0
0.415,100,127.0
0.0,500,0.2
0.0,500,0.6
0.0,500,1.0
0.0,500,1.6
0.0,500,2.4
0.15,500,3.6
0.242,500,5.5
0.257,500,9.2
0.344,500,19.0
0.39,500,127.0
0.0,1000,0.2
0.0,1000,0.6
0.0,1000,1.0
0.0,1000,1.6
0.0,1000,2.4
0.0,1000,3.6
0.158,1000,5.5
0.266,1000,9.2
0.315,1000,19.0
0.354,1000,127.0
0.0,5000,0.2
0.0,5000,0.6
0.0,5000,1.0
0.0,5000,1.6
0.0,5000,2.4
0.0,5000,3.6
0.0,5000,5.5
0.0,5000,9.2
0.0,5000,19.0
0.0,5000,127.0
0.0,10000,0.2
0.0,10000,0.6
0.0,10000,1.0
0.0,10000,1.6
0.0,10000,2.4
0.0,10000,3.6
0.0,10000,5.5
0.0,10000,9.2
0.0,10000,19.0
0.0,10000,127.0
0.0,50000,0.2
0.0,50000,0.6
0.0,50000,1.0
0.0,50000,1.6
0.0,50000,2.4
0.0,50000,3.6
0.0,50000,5.5
0.0,50000,9.2
0.0,50000,19.0
0.0,50000,127.0
0.0,100000,0.2
0.0,100000,0.6
0.0,100000,1.0
0.0,100000,1.6
0.0,100000,2.4
0.0,100000,3.6
0.0,100000,5.5
0.0,100000,9.2
0.0,100000,19.0
0.0,100000,127.0
0.0,500000,0.2
0.0,500000,0.6
0.0,500000,1.0
0.0,500000,1.6
0.0,500000,2.4
0.0,500000,3.6
0.0,500000,5.5
0.0,500000,9.2
0.0,500000,19.0
0.0,500000,127.0
